,Kospi지수,원/달러 환율,원/엔 환율,국고채 3년 금리(%),국고채 10년 금리(%),kospi_per,kospi_pbr,vkospi200,g10_esi(%),wti,ustb_2y(%),ustb_10y(%),ustips_10y(%),vix(%),EPU index,usa_pmi,china_pmi,kr_export(%),kr_cpi_yoy(%),uscpi_yoy(%),treasury_10_3_diff(%),us_10_2_diff(%),us_e_infla(%),kr_real_rate(%),lables
2007-06-01,1743.6,928.1285714285711,7.561238095238094,5.224499989499999,5.481499981500001,14.9,1.61,20.5865,29.8,67.48,4.980476190476192,5.102857142857143,2.690952380952381,14.94761904761905,50.80166666666667,52.6,55.0,14.5,2.5,2.7,0.256999992,0.1285,3.21462,2.724499989499999,1
2007-09-01,1946.48,929.2099999999998,8.06845,5.388823536470588,5.522352975294118,16.99,1.8,31.315882352941177,5.0,79.93,4.011578947368421,4.52157894736842,2.2573684210526324,22.198947368421056,79.89133333333332,51.0,55.0,-1.1,2.3,2.0,0.1335294388235293,0.51,2.57405,3.0888235364705885,1
2007-12-01,1897.13,931.4047619047616,8.26025,5.883684283684211,5.831111112222222,16.84,1.75,29.44722222222222,6.633333333333333,91.73,3.117,4.0975,1.7889999999999997,21.651000000000003,91.99612903225808,49.0,53.3,14.8,3.6,4.3,-0.0577778561111114,0.9804999999999998,2.54378,2.283684283684211,2
2008-03-01,1703.99,981.3325,9.7383,5.1519047195238095,5.367142836190477,15.39,1.59,30.74095238095238,-9.5,105.56,1.6169999999999998,3.51,1.0909999999999995,27.1035,121.86903225806452,48.3,54.4,18.4,3.9,4.0,0.2152381166666667,1.893,1.93368,1.2519047195238096,2
2008-06-01,1674.92,1031.642857142857,9.64061904761905,5.668333318888888,5.8714999915,13.31,1.4,23.795,-20.925,133.93,2.773809523809524,4.0995238095238085,1.6285714285714283,22.11047619047619,98.481,49.8,53.3,16.4,5.5,4.2,0.192222223888889,1.3257142857142856,2.72851,0.1683333188888882,1
2008-09-01,1448.0601,1133.740909090909,10.628818181818184,5.813333330000001,5.974285739047619,11.25,1.2,31.31904761904762,-17.9,103.9,2.076190476190477,3.6861904761904754,1.85,30.297619047619047,183.9743333333333,44.8,47.7,27.6,5.1,5.4,0.160952409047619,1.61,2.73093,0.7133333300000011,2
2008-12-01,1124.47,1358.9695652173912,14.907608695652176,4.058055546666666,4.921578934210527,8.99,0.94,56.31095238095237,-98.25,41.02,0.820909090909091,2.4163636363636365,2.1700000000000004,52.35590909090911,165.27870967741933,33.1,41.2,-17.9,4.1,1.1,0.907812490625,1.5954545454545457,0.283,-0.0419444533333335,2
2009-03-01,1206.26,1448.2568181818183,14.813,3.6740909168181815,4.965714294761905,9.01,1.01,41.29363636363637,-42.9,47.98,0.9313636363636364,2.819545454545455,1.7090909090909088,44.79545454545454,189.9348387096774,36.0,44.8,-22.5,3.9,0.2,1.2985714261904762,1.8881818181818184,-0.48068,-0.2259090831818184,0
2009-06-01,1390.0699,1259.5681818181818,13.027727272727276,4.084761915238095,5.245909084545454,18.39,1.1,30.85863636363636,51.625,69.68,1.1840909090909093,3.721818181818182,1.8622727272727275,29.140454545454546,107.17366666666666,45.8,51.8,-13.6,2.0,-1.3,1.1614285652380951,2.537727272727273,1.27451,2.0847619152380954,1
2009-09-01,1673.14,1211.529545454545,13.252045454545453,4.384227298181818,5.370909103636364,23.13,1.32,22.685,46.2,69.46,0.9561904761904764,3.401904761904762,1.6419047619047622,24.92666666666667,91.19866666666668,54.4,55.0,-9.4,2.2,-1.5,0.9866818054545456,2.4457142857142853,2.36081,2.184227298181818,1
2009-12-01,1682.77,1163.211363636363,12.913136363636363,4.240238121428572,5.3060000895,23.68,1.34,20.41809523809524,6.9,74.3,0.8745454545454546,3.5899999999999994,1.3645454545454547,21.23954545454545,129.59,55.3,56.1,32.8,2.8,1.8,1.0752500535,2.7154545454545453,1.7866,1.440238121428572,0
2010-03-01,1692.85,1136.0586956521745,12.506434782608697,3.937727277272727,4.912727334545455,24.35,1.36,18.15181818181818,14.125,81.24,0.958695652173913,3.7273913043478255,1.508260869565217,17.76739130434782,110.02806451612904,58.8,57.0,33.8,2.5,2.1,0.9750000572727272,2.768695652173913,1.97014,1.4377272772727268,0
2010-06-01,1698.29,1214.2499999999998,13.353636363636362,3.7488095423809527,4.930952300952382,15.17,1.26,21.022857142857134,35.875,75.35,0.7245454545454545,3.2040909090909087,1.256818181818182,29.916363636363634,127.63266666666668,56.4,50.4,30.5,2.7,2.0,1.1821427585714284,2.4795454545454545,1.35322,1.0488095423809525,0
2010-09-01,1872.8101,1160.647727272727,13.739090909090912,3.4868421315789475,4.287368348947369,16.11,1.37,16.380526315789474,16.975,75.31,0.4799999999999999,2.6476190476190475,0.9090476190476188,22.517619047619046,213.92533333333333,56.3,52.9,16.2,3.4,1.1,0.8005262173684211,2.167619047619048,0.90714,0.0868421315789476,1
2010-12-01,2051.0,1144.5521739130436,13.732521739130435,3.2495454545454545,4.447272689545454,17.8,1.5,17.721818181818183,32.15,89.04,0.618181818181818,3.2909090909090906,1.044090909090909,17.56954545454545,157.47000000000003,57.5,54.4,22.6,3.0,1.1,1.208571399047619,2.6727272727272724,1.49387,0.2495454545454545,0
2011-03-01,2106.7,1119.0326086956522,13.708869565217393,3.739772754090909,4.509090814545455,18.39,1.55,18.37727272727273,27.225,102.94,0.6973913043478263,3.4143478260869564,0.9639130434782608,20.72347826086957,140.79451612903227,59.1,51.8,28.8,4.1,2.1,0.7693180604545454,2.7169565217391307,2.10638,-0.3602272459090905,0
2011-06-01,2100.6899,1080.345454545455,13.407636363636362,3.6480952219047618,4.240476222857143,12.76,1.38,19.806666666666665,-49.85,96.29,0.4104545454545454,3.002272727272728,0.7554545454545455,19.153181818181817,126.05866666666664,56.6,50.1,11.1,4.2,3.6,0.592381000952381,2.591818181818182,2.1177,-0.5519047780952384,0
2011-09-01,1769.65,1119.5681818181818,14.548545454545456,3.4384999995000003,3.75150001,10.48,1.15,38.8535,-48.825,85.61,0.2114285714285714,1.9752380952380957,0.0920555555555555,36.53000000000001,221.5066666666667,52.8,49.9,18.0,3.8,3.8,0.3130000105,1.7638095238095235,1.00888,-0.3615000004999995,2
2011-12-01,1825.74,1148.999090909091,14.747181818181817,3.3588636331818176,3.8114285104761914,10.9,1.19,27.133333333333336,29.975,98.57,0.2571428571428572,1.978095238095238,0.00255,25.047619047619047,186.003870967742,53.1,48.7,8.2,4.2,3.4,0.4507142247619048,1.720952380952381,1.71166,-0.8411363668181826,0
2012-03-01,2014.04,1126.4431818181818,13.63281818181818,3.5519047238095243,3.9480952752380953,12.69,1.31,18.264761904761905,20.775,106.19,0.3445454545454545,2.1727272727272724,-0.0141363636363636,16.167272727272728,90.24903225806452,53.0,48.3,-1.5,2.7,2.9,0.3961905514285714,1.828181818181818,1.36205,0.8519047238095241,0
