time,open,high,low,close
2001-12-03T07:00:00+09:00,10.1,10.18,10.1,10.13
2001-12-04T07:00:00+09:00,10.12,10.15,10.12,10.13
2001-12-05T07:00:00+09:00,10.09,10.12,10.05,10.05
2001-12-06T07:00:00+09:00,10.08,10.08,10.05,10.05
2001-12-07T07:00:00+09:00,10.03,10.07,9.98,9.98
2001-12-10T07:00:00+09:00,10,10.02,10,10.02
2001-12-11T07:00:00+09:00,10.03,10.04,9.98,9.98
2001-12-12T07:00:00+09:00,10,10.02,9.96,9.96
2001-12-13T07:00:00+09:00,9.97,9.97,9.93,9.93
2001-12-14T07:00:00+09:00,9.91,9.94,9.91,9.93
2001-12-17T07:00:00+09:00,9.94,9.98,9.94,9.98
2001-12-18T07:00:00+09:00,9.96,9.97,9.96,9.97
2001-12-19T07:00:00+09:00,9.94,9.97,9.93,9.93
2001-12-20T07:00:00+09:00,9.9,9.97,9.9,9.95
2001-12-21T07:00:00+09:00,9.91,9.95,9.91,9.92
2001-12-24T07:00:00+09:00,9.77,9.95,9.77,9.91
2001-12-26T07:00:00+09:00,9.8,9.9,9.8,9.89
2001-12-27T07:00:00+09:00,9.87,9.96,9.87,9.93
2001-12-28T07:00:00+09:00,9.92,10,9.92,9.97
2001-12-31T07:00:00+09:00,9.72,10,9.72,9.85
2002-01-02T07:00:00+09:00,9.84,9.9,9.82,9.82
2002-01-03T07:00:00+09:00,9.81,9.89,9.81,9.81
2002-01-04T07:00:00+09:00,9.82,9.9,9.82,9.82
2002-01-07T07:00:00+09:00,9.85,9.88,9.8,9.8
2002-01-08T07:00:00+09:00,9.79,9.79,9.73,9.73
2002-01-09T07:00:00+09:00,9.71,9.8,9.71,9.72
2002-01-10T07:00:00+09:00,9.72,9.82,9.72,9.783
2002-01-11T07:00:00+09:00,9.794,9.836,9.787,9.787
2002-01-14T07:00:00+09:00,9.818,9.848,9.807,9.807
2002-01-15T07:00:00+09:00,9.827,9.936,9.826,9.91
2002-01-16T07:00:00+09:00,9.91,9.913,9.803,9.803
2002-01-17T07:00:00+09:00,9.78,9.835,9.78,9.798
2002-01-18T07:00:00+09:00,9.802,9.826,9.802,9.815
2002-01-22T07:00:00+09:00,9.899,9.928,9.8,9.91
