,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,,회계연도
0,(주)BNK금융지주,138930,2011,,,,,,,,2011-03
1,(주)BNK금융지주,138930,2012,,,,,,,,2012-03
2,(주)BNK금융지주,138930,2013,,,,,,,,2013-03
3,(주)BNK금융지주,138930,2014,,,,,,,,2014-03
4,(주)BNK금융지주,138930,2015,,,,,,,,2015-03
5,(주)BNK금융지주,138930,2016,,,,,,,,2016-03
6,(주)BNK금융지주,138930,2017,,,,,,,,2017-03
7,(주)BNK금융지주,138930,2018,,,,,,,,2018-03
8,(주)BNK금융지주,138930,2019,,,,,,,,2019-03
9,(주)BNK금융지주,138930,2020,,,,,,,,2020-03
10,(주)BNK금융지주,138930,2021,,,,,,,,2021-03
11,(주)BNK금융지주,138930,2022,,,,,,,,2022-03
12,(주)DB하이텍,990,2007,,,,0,205.2328394,8.891757513,,2007-03
13,(주)DB하이텍,990,2008,-103.3807419,400.2229343,-10.28434978,-520,272.7471636,0.449344107,,2008-03
14,(주)DB하이텍,990,2009,-246.9357837,-70.95698087,-56.55096668,-2617,312.0469633,-13.28987578,,2009-03
15,(주)DB하이텍,990,2010,-98.6378892,-113.7770875,5.219956246,57,310.8671388,-0.268082126,,2010-03
16,(주)DB하이텍,990,2011,-101.812025,-98.25793758,-190.7382301,-58,275.3342117,4.583374441,,2011-03
17,(주)DB하이텍,990,2012,-87.92843985,-63.20215454,7.632529477,-421,328.9801865,-2.904768077,,2012-03
18,(주)DB하이텍,990,2013,-64.35252244,38.53644927,-13.83926521,-729,337.0496786,-6.106832953,,2013-03
19,(주)DB하이텍,990,2014,-105.2269897,-44.57656003,11.3768029,-578,473.2308736,0.70004451,,2014-03
20,(주)DB하이텍,990,2015,-16.99952882,-426.0893588,-7.642001667,1516,438.6430495,12.65053561,,2015-03
21,(주)DB하이텍,990,2016,35.04577027,205.1832543,1.302575716,629,259.7397426,22.13851656,,2016-03
22,(주)DB하이텍,990,2017,24.04430611,126.7809957,-5.241774331,649,175.5086488,27.16241776,,2017-03
23,(주)DB하이텍,990,2018,-4.99150066,-95.43205249,-8.12826131,48,116.802652,9.15656542,,2018-03
24,(주)DB하이텍,990,2019,-13.29618319,-8.358688062,-7.775063076,0,93.80706086,14.01956182,,2019-03
25,(주)DB하이텍,990,2020,35.32733077,340.3957232,6.494965832,1268,67.54995293,28.6724684,,2020-03
26,(주)DB하이텍,990,2021,99.29051279,252.4308901,6.98685086,1100,44.39064929,24.85914803,,2021-03
27,(주)DB하이텍,990,2022,31.41445895,35.19772703,7.385887521,3651,35.37156927,45.95784372,,2022-03
28,(주)JB금융지주,175330,2014,-100,-100,-100,,,,,2014-03
29,(주)JB금융지주,175330,2015,,,,,,,,2015-03
30,(주)JB금융지주,175330,2016,,,,,,,,2016-03
31,(주)JB금융지주,175330,2017,,,,,,,,2017-03
32,(주)JB금융지주,175330,2018,,,,,,,,2018-03
33,(주)JB금융지주,175330,2019,,,,,,,,2019-03
34,(주)JB금융지주,175330,2020,,,,,,,,2020-03
35,(주)JB금융지주,175330,2021,,,,,,,,2021-03
36,(주)JB금융지주,175330,2022,,,,,,,,2022-03
37,(주)KB금융지주,105560,2009,,,,,,,,2009-03
38,(주)KB금융지주,105560,2010,,,,,,,,2010-03
39,(주)KB금융지주,105560,2011,,,,,,,,2011-03
40,(주)KB금융지주,105560,2012,,,,,,,,2012-03
41,(주)KB금융지주,105560,2013,,,,,,,,2013-03
42,(주)KB금융지주,105560,2014,,,,,,,,2014-03
43,(주)KB금융지주,105560,2015,,,,,,,,2015-03
44,(주)KB금융지주,105560,2016,,,,,,,,2016-03
45,(주)KB금융지주,105560,2017,,,,,,,,2017-03
46,(주)KB금융지주,105560,2018,,,,,,,,2018-03
47,(주)KB금융지주,105560,2019,,,,,,,,2019-03
48,(주)KB금융지주,105560,2020,,,,,,,,2020-03
49,(주)KB금융지주,105560,2021,,,,,,,,2021-03
50,(주)KB금융지주,105560,2022,,,,,,,,2022-03
51,(주)강원랜드,35250,2007,,,,0,37.15958076,39.37477781,,2007-03
52,(주)강원랜드,35250,2008,20.74518504,104.8002376,12.6306373,421,41.70655577,40.10918999,,2008-03
53,(주)강원랜드,35250,2009,31.19892076,228.3974487,15.59836267,458,39.82750155,44.15434117,,2009-03
54,(주)강원랜드,35250,2010,122.6843617,64.41336321,11.31000633,550,37.3548241,45.89063074,,2010-03
55,(주)강원랜드,35250,2011,64.75453516,38.33681949,6.490920323,503,36.16880228,43.58354201,,2011-03
56,(주)강원랜드,35250,2012,29.1673557,17.33083023,12.17028619,0,34.46411632,35.69722643,,2012-03
57,(주)강원랜드,35250,2013,61.74221635,76.66645002,10.03705072,438,29.31666895,34.59846984,,2013-03
58,(주)강원랜드,35250,2014,232.1696701,279.969417,11.22374246,523,27.58539557,36.86510173,,2014-03
59,(주)강원랜드,35250,2015,42.13846134,179.4832386,13.86919121,0,31.5680124,39.82791521,,2015-03
60,(주)강원랜드,35250,2016,47.99315262,53.61025978,7.56027711,0,32.26747874,40.74336196,,2016-03
61,(주)강원랜드,35250,2017,36.66969202,103.720568,3.156736144,0,26.87082126,38.39629818,,2017-03
62,(주)강원랜드,35250,2018,32.07660752,15.47493512,-5.264635399,0,26.69911709,33.29778138,,2018-03
