,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,
0,(주)BNK금융지주,138930,2011,,,,,,,2011-12
1,(주)BNK금융지주,138930,2012,,,,,,,2012-12
2,(주)BNK금융지주,138930,2013,,,,,,,2013-12
3,(주)BNK금융지주,138930,2014,,,,,,,2014-12
4,(주)BNK금융지주,138930,2015,,,,,,,2015-12
5,(주)BNK금융지주,138930,2016,,,,,,,2016-12
6,(주)BNK금융지주,138930,2017,,,,,,,2017-12
7,(주)BNK금융지주,138930,2018,,,,,,,2018-12
8,(주)BNK금융지주,138930,2019,,,,,,,2019-12
9,(주)BNK금융지주,138930,2020,,,,,,,2020-12
10,(주)BNK금융지주,138930,2021,,,,,,,2021-12
11,(주)BNK금융지주,138930,2022,,,,,,,2022-12
12,(주)DB하이텍,990,2007,347.1703106,-119.4200755,18.31596929,-1151,52.01098026,-3.92359698,2007-12
13,(주)DB하이텍,990,2008,210.909113,172.3647884,31.03557931,-8726,71.60796543,1.41260043,2008-12
14,(주)DB하이텍,990,2009,570.1479239,-323.4550143,14.37036796,-317,12.50915687,-3.170091928,2009-12
15,(주)DB하이텍,990,2010,-32.78882669,58.32718747,8.004037789,-3416,13.05881859,-60.27347735,2010-12
16,(주)DB하이텍,990,2011,948.5791471,-409.0235268,59.402444,-1152,-10.95319343,-5.714218827,2011-12
17,(주)DB하이텍,990,2012,101.0714731,283.342639,10.69624309,-526,-10.84872677,-3.782754128,2012-12
18,(주)DB하이텍,990,2013,88.01709011,-265.0689384,-17.18369678,-1043,64.19557137,-3.569444336,2013-12
19,(주)DB하이텍,990,2014,-150.4561199,-470.1508604,8.734869131,-467,111.0541827,2.329113565,2014-12
20,(주)DB하이텍,990,2015,-217.0107759,-23.73546669,-20.11550999,237,-23.15068303,-0.798270919,2015-12
21,(주)DB하이텍,990,2016,-49.7909673,-30.95618857,-14.28685209,286,-6.701882748,-0.547770841,2016-12
22,(주)DB하이텍,990,2017,-4.258092375,70.90844505,-3.557255304,1060,-24.80958778,-3.474714989,2017-12
23,(주)DB하이텍,990,2018,10.91728578,15.51838582,7.319398293,406,-5.035198178,-0.689899797,2018-12
24,(주)DB하이텍,990,2019,-18.78248677,-52.63934104,-2.878424216,288,-6.748788614,0.03589189,2019-12
