,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,42400,                  19.59,                   3.11,                  11.14,                   2.25,                   2.12
2007-01-03,41500,                  19.18,                   3.04,                  10.91,                   2.20,                   2.17
2007-01-04,40400,                  18.67,                   2.96,                  10.62,                   2.14,                   2.23
2007-01-05,40300,                  18.62,                   2.96,                  10.59,                   2.14,                   2.23
2007-01-08,40200,                  18.58,                   2.95,                  10.56,                   2.13,                   2.24
2007-01-09,39950,                  18.46,                   2.93,                  10.50,                   2.12,                   2.25
2007-01-10,39400,                  18.21,                   2.89,                  10.35,                   2.09,                   2.28
2007-01-11,39600,                  18.30,                   2.91,                  10.41,                   2.10,                   2.27
2007-01-12,40000,                  18.48,                   2.93,                  10.51,                   2.12,                   2.25
2007-01-15,40250,                  18.60,                   2.95,                  10.58,                   2.14,                   2.24
2007-01-16,40900,                  18.90,                   3.00,                  10.75,                   2.17,                   2.20
2007-01-17,40500,                  18.71,                   2.97,                  10.64,                   2.15,                   2.22
2007-01-18,40500,                  18.71,                   2.97,                  10.64,                   2.15,                   2.22
2007-01-19,40300,                  18.62,                   2.96,                  10.59,                   2.14,                   2.23
2007-01-22,39200,                  18.11,                   2.88,                  10.30,                   2.08,                   2.30
2007-01-23,38550,                  17.81,                   2.83,                  10.13,                   2.05,                   2.33
2007-01-24,39750,                  18.37,                   2.92,                  10.45,                   2.11,                   2.26
2007-01-25,39750,                  18.37,                   2.92,                  10.45,                   2.11,                   2.26
2007-01-26,39550,                  18.28,                   2.90,                  10.39,                   2.10,                   2.28
2007-01-29,37800,                  17.47,                   2.77,                   9.93,                   2.01,                   2.38
2007-01-30,39000,                  18.02,                   2.86,                  10.25,                   2.07,                   2.31
2007-01-31,38800,                  17.93,                   2.85,                  10.20,                   2.06,                   2.32
2007-02-01,38550,                  17.81,                   2.83,                  10.13,                   2.05,                   2.33
2007-02-02,39250,                  18.14,                   2.88,                  10.31,                   2.08,                   2.29
2007-02-05,38900,                  17.97,                   2.85,                  10.22,                   2.07,                   2.31
2007-02-06,39150,                  18.09,                   2.87,                  10.29,                   2.08,                   2.30
2007-02-07,39000,                  18.02,                   2.86,                  10.25,                   2.07,                   2.31
2007-02-08,38850,                  17.95,                   2.85,                  10.21,                   2.06,                   2.32
2007-02-09,39000,                  18.02,                   2.86,                  10.25,                   2.07,                   2.31
2007-02-12,38250,                  17.67,                   2.81,                  10.05,                   2.03,                   2.35
2007-02-13,38000,                  17.56,                   2.79,                   9.99,                   2.02,                   2.37
2007-02-14,37900,                  17.51,                   2.78,                   9.96,                   2.01,                   2.37
2007-02-15,37700,                  17.42,                   2.77,                   9.91,                   2.00,                   2.39
2007-02-16,37100,                  17.14,                   2.72,                   9.75,                   1.97,                   2.43
2007-02-20,36700,                  16.96,                   2.69,                   9.64,                   1.95,                   2.45
2007-02-21,36550,                  16.89,                   2.68,                   9.60,                   1.94,                   2.46
2007-02-22,37100,                  17.14,                   2.72,                   9.75,                   1.97,                   2.43
2007-02-23,37250,                  17.21,                   2.73,                   9.79,                   1.98,                   2.42
2007-02-26,37500,                  17.33,                   2.75,                   9.85,                   1.99,                   2.40
2007-02-27,37600,                  17.37,                   2.76,                   9.88,                   2.00,                   2.39
2007-02-28,37600,                  17.37,                   2.76,                   9.88,                   2.00,                   2.39
2007-03-02,36850,                  17.03,                   2.70,                   9.68,                   1.96,                   2.44
2007-03-05,35850,                  16.57,                   2.63,                   9.42,                   1.90,                   2.51
2007-03-06,35750,                  16.52,                   2.62,                   9.39,                   1.90,                   2.52
2007-03-07,35600,                  16.45,                   2.61,                   9.36,                   1.89,                   2.53
2007-03-08,35900,                  16.59,                   2.63,                   9.43,                   1.91,                   2.51
2007-03-09,35900,                  16.59,                   2.63,                   9.43,                   1.91,                   2.51
2007-03-12,35950,                  16.61,                   2.64,                   9.45,                   1.91,                   2.50
2007-03-13,36600,                  16.91,                   2.69,                   9.62,                   1.94,                   2.46
2007-03-14,36500,                  16.87,                   2.68,                   9.59,                   1.94,                   2.47
2007-03-15,36650,                  16.94,                   2.69,                   9.63,                   1.95,                   2.46
2007-03-16,36250,                  16.75,                   2.66,                   9.53,                   1.92,                   2.48
2007-03-19,36350,                  16.80,                   2.67,                   9.55,                   1.93,                   2.48
2007-03-20,36700,                  16.96,                   2.69,                   9.64,                   1.95,                   2.45
2007-03-21,37050,                  17.12,                   2.72,                   9.74,                   1.97,                   2.43
2007-03-22,37600,                  17.37,                   2.76,                   9.88,                   2.00,                   2.39
2007-03-23,37250,                  17.21,                   2.73,                   9.79,                   1.98,                   2.42
2007-03-26,37100,                  17.14,                   2.72,                   9.75,                   1.97,                   2.43
2007-03-27,37350,                  17.26,                   2.74,                   9.82,                   1.98,                   2.41
2007-03-28,37050,                  17.12,                   2.72,                   9.74,                   1.97,                   2.43
2007-03-29,37100,                  17.14,                   2.72,                   9.75,                   1.97,                   2.43
2007-03-30,37800,                  17.47,                   2.77,                   9.93,                   2.01,                   2.38
